step,complexity,noise,solved,failed,time,overload,crisis_mode,avg_crisis,I,C,Ccrit
0,0.7214719309783779,0.10100630209250025,1,0,1.00443,0.0,0,0.0,0.044300000000000006,0.0,0.12
1,0.9570936276638426,0.24400023505971022,1,0,1.1611709220611128,0.1710647254013975,0,0.0,0.06250372733997317,0.6470198660012655,0.21705297990018982
2,0.711582110304176,-0.010686177328803753,1,0,1.0051904583256193,0.0,0,0.0,0.05190458325619347,0.0,0.1808819908898477
3,1.010618391431052,0.12262360876981898,1,0,1.1030127673959371,0.10755202371510841,0,0.0,0.05667363299544347,0.28405488988046235,0.18714366194765097
4,1.1200240294899142,0.11912458194017925,1,0,1.1845138823892676,0.19283039676180325,0,0.0,0.09344765882204108,0.9150729335830685,0.22721595192959748
5,1.0883233954455223,0.20724612918765664,1,0,1.200262477784221,0.19782581143800448,0,0.0,0.18861147807341555,1.3977815022701332,0.27444323330365905
6,1.1006155748951707,0.1346083385977,1,0,1.1189715638173847,0.0987790021824404,0,0.0,0.27615420536306207,0.8852846316624239,0.313248983348289
7,0.7939604476207562,0.14568171227193968,1,0,1.0220201637139896,0.0,0,0.0,0.22020163713989616,0.0,0.2799125100223353
8,0.716441926154078,0.2267045411409486,1,0,1.01714376543846,0.0,0,0.0,0.17143765438460173,0.0,0.28398559182776506
9,0.9197928995407618,0.2259050753443351,1,0,1.07637234504088,0.06388090376552369,0,0.0,0.17853106340651992,0.33964639816989295,0.28970926640210565
10,1.3469846290127834,-0.01591013551587643,1,0,1.1555489588219972,0.12498644454195196,0,0.0,0.3870708400653343,1.753765123907736,0.3318162986457726
11,1.1468903318671626,0.27172691928337833,1,0,1.0958676604161495,0.0,0,0.0,0.9586766041614949,2.8038464473733624,0.394518816492608
12,1.4830127654597214,0.1054350186518355,1,0,1.1,0.0,0,0.0,1.0,5.540332714012825,0.6171227541540656
13,0.9138708550617112,0.12298021476884102,1,0,1.1,0.0,0,0.0,1.0,0.02172802156249975,0.6003464164811594
14,1.0667626842911455,0.2505899239921422,1,0,1.1,0.0,0,0.0,1.0,1.6114028477472948,0.6917068315366351
15,1.3378699965152812,-0.09010427937568943,1,0,1.1,0.0,0,0.0,1.0,0.9822056094351388,0.7248898264887803
16,1.2992258467787599,0.06888699856604394,1,0,1.1,0.0,0,0.0,1.0,2.168113070525558,0.7492287454735673
17,1.1564075592567848,0.09938203354843042,1,0,1.1,0.0,0,0.0,1.0,1.0468530525993247,0.6585049155725201
18,0.9711405159218298,0.2000587161384664,1,0,1.1,0.0,0,0.0,1.0,0.4689468329285624,0.4080520999486601
19,1.0100991481934494,0.09641228436871888,1,0,1.1,0.0,0,0.0,1.0,0.1815149642631253,0.42108191624299435
20,1.2000527822583291,0.0034573729171684386,1,0,1.1,0.0,0,0.0,1.0,0.662662132152882,0.3788086146387769
21,0.9019796903312212,0.2704932480521901,1,0,1.1,0.0,0,0.0,1.0,0.4759506315937283,0.35472625039696215
22,0.9375139795822625,0.10719489397160156,1,0,1.1,0.0,0,0.0,1.0,0.03198213399128654,0.24977820508764426
23,0.6652256827452014,-0.010190052491944088,1,0,1.1,0.0,0,0.0,1.0,0.0,0.20117370813289598
24,0.7273993111467311,-0.08044491719387398,1,0,1.1,0.0,0,0.0,1.0,0.0,0.18060150790320062
