step,complexity,noise,solved,failed,time,overload,crisis_mode,avg_crisis,I,C,Ccrit
0,0.7214719309783779,0.10100630209250025,1,0,1.0,0.0,0,0.0,0.0,0.0,0.0
1,0.9570936276638426,0.24400023505971022,1,0,1.1809844764511974,0.20109386272355279,0,0.10054693136177639,0.0,0.0,0.0
2,0.711582110304176,-0.010686177328803753,1,0,1.0,0.0,0,0.0670312875745176,0.0,0.0,0.0
3,1.010618391431052,0.12262360876981898,1,0,1.119917800180784,0.13324200020087096,0,0.08358396573110594,0.0,0.0,0.0
4,1.1200240294899142,0.11912458194017925,1,0,1.215233750287084,0.23914861143009336,0,0.11469689487090343,0.0,0.0,0.0
5,1.0883233954455223,0.20724612918765664,0,1,1.266012572169861,0.29556952463317887,0,0.1738107997975392,0.0,0.0,0.0
6,1.1006155748951707,0.1346083385977,1,0,1.25,0.0,1,0.18063680995140277,0.0,0.0,0.0
7,0.7939604476207562,0.14568171227193968,1,0,1.25,0.0,1,0.18063680995140277,0.0,0.0,0.0
8,0.716441926154078,0.2267045411409486,1,0,1.0,0.0,0,0.15398840991122859,0.0,0.0,0.0
9,0.9197928995407618,0.2259050753443351,1,0,1.131128177396587,0.14569797488509684,0,0.13529828260222926,0.0,0.0,0.0
10,1.3469846290127834,-0.01591013551587643,0,1,1.2979670441472164,0.331074493496907,0,0.1423992763749749,0.0,0.0,0.0
11,1.1468903318671626,0.27172691928337833,0,1,1.376755526035487,0.41861725115054105,0,0.17907794390650897,0.0,0.0,0.0
12,1.4830127654597214,0.1054350186518355,1,0,1.25,0.0,1,0.29676750072882035,0.0,0.0,0.0
13,0.9138708550617112,0.12298021476884102,1,0,1.25,0.0,1,0.3041377146949308,0.0,0.0,0.0
14,1.0667626842911455,0.2505899239921422,1,0,1.25,0.0,1,0.338468641374569,0.0,0.0,0.0
15,1.3378699965152812,-0.09010427937568943,1,0,1.25,0.0,1,0.3218068861031059,0.0,0.0,0.0
16,1.2992258467787599,0.06888699856604394,1,0,1.25,0.0,1,0.3117060049419585,0.0,0.0,0.0
17,1.1564075592567848,0.09938203354843042,1,0,1.25,0.0,1,0.24517436668069012,0.0,0.0,0.0
18,0.9711405159218298,0.2000587161384664,1,0,1.25,0.0,1,0.2720439991266389,0.0,0.0,0.0
19,1.0100991481934494,0.09641228436871888,1,0,1.25,0.0,1,0.22987576398241502,0.0,0.0,0.0
20,1.2000527822583291,0.0034573729171684386,1,0,1.25,0.0,1,0.22102465158959622,0.0,0.0,0.0
21,0.9019796903312212,0.2704932480521901,1,0,1.25,0.0,1,0.18189667019731776,0.0,0.0,0.0
22,0.9375139795822625,0.10719489397160156,1,0,1.0402379861984776,0.044708873553864104,0,0.13968052634704753,0.0,0.0,0.0
23,0.6652256827452014,-0.010190052491944088,1,0,1.0,0.0,0,0.10544067993498829,0.0,0.0,0.0
24,0.7273993111467311,-0.08044491719387398,1,0,1.0,0.0,0,0.08413839342255462,0.0,0.0,0.0
25,1.0727975838924193,0.25472986301923706,0,1,1.294774702220491,0.3275274469116565,0,0.1089418517697864,0.0,0.0,0.0
26,0.7115458282111922,0.14892387816133953,1,0,1.0,0.0,0,0.07444726409310412,0.0,0.0,0.0
27,0.9320241934466923,0.0928452458509986,1,0,1.022382495367922,0.02486943929769092,0,0.07047937724186948,0.0,0.0,0.0
28,0.7873563610745762,0.25436848438386095,1,0,1.0375523609125934,0.04172484545843713,0,0.07882434633355691,0.0,0.0,0.0
29,1.026002304408136,0.08271853826732387,1,0,1.0978487584079137,0.10872084267545978,0,0.10056851486864886,0.0,0.0,0.0
30,0.931643621837452,0.27178587603456394,1,0,1.1830865480848143,0.20342949787201592,0,0.07574892506072076,0.0,0.0,0.0
31,1.2423353730687494,0.11825290695132754,0,1,1.3245294520180693,0.36058828002007703,0,0.14786658106473616,0.0,0.0,0.0
32,0.9858776319119944,0.16790157257979285,1,0,1.1384012840426085,0.15377920449178717,0,0.1736485341035554,0.0,0.0,0.0
33,0.8345763678020919,0.21992080106396386,1,0,1.0490474519794502,0.05449716886605582,0,0.17620299878507914,0.0,0.0,0.0
34,0.9511397676094929,0.0915571624186465,1,0,1.0384272370253256,0.04269693002813946,0,0.16299821625561509,0.0,0.0,0.0
35,1.18067005754388,0.07322673261920018,0,1,1.2285071111467722,0.2538967901630802,0,0.17309167471382794,0.0,0.0,0.0
36,0.8266244865887254,0.007614374188413861,1,0,1.0,0.0,0,0.10097401870981253,0.0,0.0,0.0
37,0.6698655582212377,0.16225708389890695,1,0,1.0,0.0,0,0.07021817781145509,0.0,0.0,0.0
38,1.0083639292150939,0.08329098166092316,1,0,1.0824894197884152,0.09165491087601696,0,0.07764972621344732,0.0,0.0,0.0
39,0.9637332853389875,0.09580701100807146,1,0,1.0535862667123532,0.05954029634705904,0,0.08101839947723125,0.0,0.0,0.0
40,1.4049279366316805,0.09422765513258011,0,1,1.4492400325878345,0.4991555917642605,0,0.1300701597974673,0.0,0.0,0.0
41,1.2719947707612322,0.2231837106771156,1,0,1.25,0.0,1,0.22910585608513684,0.0,0.0,0.0
42,1.3161560476203449,0.23256116893908127,1,0,1.25,0.0,1,0.3388492993970221,0.0,0.0,0.0
43,1.1733566033614695,-0.0606504039810567,1,0,1.25,0.0,1,0.34305955709790126,0.0,0.0,0.0
44,1.3706166850205883,0.10606933313259823,1,0,1.25,0.0,1,0.42648870145912665,0.0,0.0,0.0
45,1.2648060633971698,0.28690711386733214,1,0,1.25,0.0,1,0.43700021855917504,0.0,0.0,0.0
46,1.4012931155026864,-0.0742819379313343,1,0,1.25,0.0,1,0.4033667577857759,0.0,0.0,0.0
47,1.0595638350843188,-0.06133498193446814,1,0,1.25,0.0,1,0.29362331447389073,0.0,0.0,0.0
48,1.3307929601017692,0.07975792561912742,1,0,1.25,0.0,1,0.3531922517419875,0.0,0.0,0.0
49,0.6584195260353475,-0.09991441234579589,1,0,1.25,0.0,1,0.2578550481113502,0.0,0.0,0.0
50,0.9983839953538352,0.27287133585320444,1,0,1.25,0.0,1,0.20176347889985768,0.0,0.0,0.0
51,0.6998393398976342,0.21750824212667855,1,0,1.0,0.0,0,0.13636124338558725,0.0,0.0,0.0
52,0.7987025668657671,0.14842986477809866,1,0,1.0,0.0,0,0.13636124338558725,0.0,0.0,0.0
53,1.1011130029549387,0.28254675647180216,0,1,1.3452937834840668,0.3836597594267408,0,0.13098301812675608,0.0,0.0,0.0
54,1.0510862786665323,0.1541633944429476,1,0,1.184724705798532,0.20524967310947995,0,0.17203295274865207,0.0,0.0,0.0
55,0.742856542789032,0.02537709374601041,1,0,1.0,0.0,0,0.11778188650724415,0.0,0.0,0.0
56,0.9998392637414497,0.20781112589300607,1,0,1.1868853506710102,0.2076503896344557,0,0.15931196443413528,0.0,0.0,0.0
57,1.2199613371224718,0.0967955669455427,1,0,1.25,0.0,1,0.22266334524773818,0.0,0.0,0.0
58,1.082283580023856,-0.04605416492878316,1,0,1.0326064735855656,0.036229415095072826,0,0.1531772763814046,0.0,0.0,0.0
59,0.7837566024347403,0.13517380693917355,1,0,1.0,0.0,0,0.1121273417595086,0.0,0.0,0.0
60,1.224966476551308,0.2503975173608852,1,0,1.25,0.0,1,0.20720014054194724,0.0,0.0,0.0
61,0.9528328342319137,-0.06622671658462606,1,0,1.0,0.0,0,0.1656700626150561,0.0,0.0,0.0
62,1.0511329240804381,0.27402236501975696,0,1,1.2926397601901756,0.325155289100195,0,0.1673497396214922,0.0,0.0,0.0
63,1.1200627749372027,0.26600645657190436,1,0,1.25,0.0,1,0.23731770290429904,0.0,0.0,0.0
64,0.8336025961087729,0.06481565949442178,1,0,1.25,0.0,1,0.23731770290429904,0.0,0.0,0.0
65,1.1347969955885544,0.1080123686996334,1,0,1.25,0.0,1,0.19080677697949797,0.0,0.0,0.0
66,0.7680182667494097,-0.09434725058429093,1,0,1.25,0.0,1,0.19080677697949797,0.0,0.0,0.0
67,0.713680364441937,0.25510830305049814,1,0,1.0,0.0,0,0.12577571915945898,0.0,0.0,0.0
68,0.6808252237758032,0.03880713774643074,1,0,1.0,0.0,0,0.04856187285763758,0.0,0.0,0.0
69,0.8620416846925483,0.20781349523386713,1,0,1.0628696619337739,0.06985517992641532,0,0.06253290884292065,0.0,0.0,0.0
70,0.9175517105352451,0.031104021319134423,1,0,1.0,0.0,0,0.013971035985283065,0.0,0.0,0.0
71,1.0474115822678478,-0.051450861997694775,1,0,1.0,0.0,0,0.013971035985283065,0.0,0.0,0.0
72,1.4835929423844134,0.22197544625620128,0,1,1.6350115497765532,0.7055683886406148,0,0.155084713713406,0.0,0.0,0.0
