sigma,seed,model,success,failure,avg_time
0.60,2026,baseline,0.675000,0.325000,1.164492
0.60,2026,metaslayer_simple,0.891667,0.108333,1.173460
0.60,2026,metaslayer_real_I,1.000000,0.000000,1.193398
0.60,2026,metaslayer_soft,1.000000,0.000000,1.099730
0.60,2027,baseline,0.733333,0.266667,1.141333
0.60,2027,metaslayer_simple,0.908333,0.091667,1.142567
0.60,2027,metaslayer_real_I,0.991667,0.008333,1.185972
0.60,2027,metaslayer_soft,0.991667,0.008333,1.098057
0.60,2028,baseline,0.700000,0.300000,1.161649
0.60,2028,metaslayer_simple,0.908333,0.091667,1.168156
0.60,2028,metaslayer_real_I,1.000000,0.000000,1.189902
0.60,2028,metaslayer_soft,0.983333,0.016667,1.099111
0.60,2029,baseline,0.658333,0.341667,1.159916
0.60,2029,metaslayer_simple,0.916667,0.083333,1.179337
0.60,2029,metaslayer_real_I,1.000000,0.000000,1.198889
0.60,2029,metaslayer_soft,0.991667,0.008333,1.098666
0.60,2030,baseline,0.733333,0.266667,1.152428
0.60,2030,metaslayer_simple,0.916667,0.083333,1.151810
0.60,2030,metaslayer_real_I,1.000000,0.000000,1.189391
0.60,2030,metaslayer_soft,0.991667,0.008333,1.098500
0.60,2041,baseline,0.675000,0.325000,1.160235
0.60,2041,metaslayer_simple,0.908333,0.091667,1.166106
0.60,2041,metaslayer_real_I,1.000000,0.000000,1.188571
0.60,2041,metaslayer_soft,0.991667,0.008333,1.099136
0.60,2042,baseline,0.691667,0.308333,1.151489
0.60,2042,metaslayer_simple,0.900000,0.100000,1.167081
0.60,2042,metaslayer_real_I,1.000000,0.000000,1.187495
0.60,2042,metaslayer_soft,0.991667,0.008333,1.098072
0.60,2043,baseline,0.650000,0.350000,1.165703
0.60,2043,metaslayer_simple,0.908333,0.091667,1.180290
0.60,2043,metaslayer_real_I,1.000000,0.000000,1.198841
0.60,2043,metaslayer_soft,0.991667,0.008333,1.099446
0.60,2044,baseline,0.650000,0.350000,1.154170
0.60,2044,metaslayer_simple,0.900000,0.100000,1.147337
0.60,2044,metaslayer_real_I,0.991667,0.008333,1.188833
0.60,2044,metaslayer_soft,0.966667,0.033333,1.101181
0.60,2045,baseline,0.658333,0.341667,1.160831
0.60,2045,metaslayer_simple,0.891667,0.108333,1.164710
0.60,2045,metaslayer_real_I,1.000000,0.000000,1.193865
0.60,2045,metaslayer_soft,0.991667,0.008333,1.100164
0.70,2026,baseline,0.650000,0.350000,1.179553
0.70,2026,metaslayer_simple,0.925000,0.075000,1.186594
0.70,2026,metaslayer_real_I,1.000000,0.000000,1.194735
0.70,2026,metaslayer_soft,1.000000,0.000000,1.099603
0.70,2027,baseline,0.708333,0.291667,1.152302
0.70,2027,metaslayer_simple,0.900000,0.100000,1.151911
0.70,2027,metaslayer_real_I,0.991667,0.008333,1.187083
0.70,2027,metaslayer_soft,0.991667,0.008333,1.098172
0.70,2028,baseline,0.683333,0.316667,1.175798
0.70,2028,metaslayer_simple,0.908333,0.091667,1.178391
0.70,2028,metaslayer_real_I,1.000000,0.000000,1.191609
0.70,2028,metaslayer_soft,0.983333,0.016667,1.099360
0.70,2029,baseline,0.616667,0.383333,1.176370
0.70,2029,metaslayer_simple,0.925000,0.075000,1.193207
0.70,2029,metaslayer_real_I,1.000000,0.000000,1.198681
