sigma,model,success_mean,success_std,failure_mean,failure_std,avg_time_mean,avg_time_std
0.60,baseline,0.682500,0.029919,0.317500,0.029919,1.157224,0.007010
0.60,metaslayer_simple,0.905000,0.008498,0.095000,0.008498,1.164085,0.012277
0.60,metaslayer_real_I,0.998333,0.003333,0.001667,0.003333,1.191516,0.004324
0.60,metaslayer_soft,0.989167,0.008375,0.010833,0.008375,1.099206,0.000925
0.70,baseline,0.652500,0.029119,0.347500,0.029119,1.170466,0.008440
0.70,metaslayer_simple,0.915833,0.012047,0.084167,0.012047,1.174908,0.013797
0.70,metaslayer_real_I,0.998333,0.003333,0.001667,0.003333,1.192318,0.004180
0.70,metaslayer_soft,0.990000,0.006236,0.010000,0.006236,1.099858,0.001320
0.80,baseline,0.620000,0.032102,0.380000,0.032102,1.184336,0.010031
0.80,metaslayer_simple,0.920833,0.017579,0.079167,0.017579,1.182999,0.012996
0.80,metaslayer_real_I,0.999167,0.002500,0.000833,0.002500,1.193176,0.004027
0.80,metaslayer_soft,0.988333,0.006667,0.011667,0.006667,1.100878,0.001708
